importe,year,title_encoded,entidad_encoded,proveedor_encoded,importe_categoria,facturas_por_proveedor,importe_promedio_por_año,importe_relativo_al_proveedor,diferencia_con_media_importe
7781.42,2025,2404,61,41,alto,10,80751.64195876289,1.4953795822233735,-15653.052904000002
5064.35,2023,2401,61,41,alto,10,23087.897503337783,0.9732318249410702,-18370.122904000003
6409.84,2025,2405,61,41,alto,10,80751.64195876289,1.2317988055288969,-17024.632904000002
3009.89,2022,2399,61,41,alto,10,28270.918252788106,0.5784198836122854,-20424.582904000003
5901.23,2023,2407,61,41,alto,10,23087.897503337783,1.1340576465483212,-17533.242904000002
5481.91,2023,2406,61,41,alto,10,23087.897503337783,1.053475623419136,-17952.562904000002
4670.66,2021,2403,61,41,alto,10,27085.747595419845,0.8975751982938104,-18763.812904000002
4775.01,2023,2402,61,41,alto,10,23087.897503337783,0.9176284609894378,-18659.462904
3949.47,2022,2400,61,41,alto,10,28270.918252788106,0.7589818823047396,-19485.002904
4992.64,2014,2398,16,41,alto,10,12795.017135614702,0.959451092138929,-18441.832904000003
2588.19,2014,5906,104,169,alto,2,12795.017135614702,0.9780077766315621,-20846.282904000003
2704.59,2013,6005,104,169,alto,2,11912.799832258064,1.0219922233684378,-20729.882904000002
3359.34,2024,1358,82,234,alto,4,44752.81413533835,0.6385169810460051,-20075.132904000002
3223.77,2024,1244,82,234,alto,4,44752.81413533835,0.6127488994822434,-20210.702904
11496.67,2023,1301,122,234,alto,4,23087.897503337783,2.185196800705548,-11937.802904000002
2964.86,2022,1300,122,234,alto,4,28270.918252788106,0.5635373187662037,-20469.612904
90.27,2019,5318,39,157,bajo,2,10601.82814473684,1.171728971962617,-23344.202904
63.81,2016,4458,39,157,bajo,2,13520.933636363638,0.8282710280373833,-23370.662904
145.2,2018,1409,77,180,bajo,11,18593.686696891193,0.04329045395618969,-23289.272904
347.88,2015,1967,60,180,bajo,11,18935.184909793814,0.10371820332148257,-23086.592904
695.76,2013,1404,71,180,medio,11,11912.799832258064,0.20743640664296514,-22738.712904000004
91.21,2019,4548,77,180,bajo,11,10601.82814473684,0.027193679788870946,-23343.262904000003
5750.76,2017,4561,77,180,alto,11,18449.532506666666,1.7145524173078335,-17683.712904
18148.79,2022,1073,77,180,alto,11,28270.918252788106,5.410945990740744,-5285.682904000001
3586.96,2024,3393,77,180,alto,11,44752.81413533835,1.069429247401475,-19847.512904000003
210.88,2016,3810,77,180,bajo,11,13520.933636363638,0.06287252706805291,-23223.592904
6456.45,2017,3013,77,180,alto,11,18449.532506666666,1.9249493901201165,-16978.022904
372.08,2021,496,77,180,bajo,11,27085.747595419845,0.11093327898084751,-23062.392904
1089.0,2018,1410,77,180,medio,11,18593.686696891193,0.32467840467142267,-22345.472904000002
794.28,2023,5464,21,7,medio,58,23087.897503337783,0.6149787966379517,-22640.192904000003
745.8,2015,6451,21,7,medio,58,18935.184909793814,0.5774426984597175,-22688.672904000003
745.8,2019,6444,21,7,medio,58,10601.82814473684,0.5774426984597175,-22688.672904000003
745.8,2015,6450,21,7,medio,58,18935.184909793814,0.5774426984597175,-22688.672904000003
745.8,2022,6419,21,7,medio,58,28270.918252788106,0.5774426984597175,-22688.672904000003
9.59,2014,715,21,7,bajo,58,12795.017135614702,0.007425148133854507,-23424.882904000002
1721.41,2021,6417,21,7,medio,58,27085.747595419845,1.3328179613241384,-21713.062904000002
1689.96,2012,6428,21,7,medio,58,9574.647017291067,1.30846750159424,-21744.512904000003
1721.41,2020,2180,21,7,medio,58,58496.831775956285,1.3328179613241384,-21713.062904000002
1720.04,2014,6439,21,7,medio,58,12795.017135614702,1.3317572258764447,-21714.432904
1766.16,2024,5504,21,7,medio,58,44752.81413533835,1.367466071750623,-21668.312904000002
1721.41,2020,6420,21,7,medio,58,58496.831775956285,1.3328179613241384,-21713.062904000002
745.8,2020,6442,21,7,medio,58,58496.831775956285,0.5774426984597175,-22688.672904000003
1721.41,2016,6440,21,7,medio,58,13520.933636363638,1.3328179613241384,-21713.062904000002
745.8,2022,6443,21,7,medio,58,28270.918252788106,0.5774426984597175,-22688.672904000003
1648.06,2012,6373,21,7,medio,58,9574.647017291067,1.276026030602738,-21786.412904
1721.41,2023,5457,21,7,medio,58,23087.897503337783,1.3328179613241384,-21713.062904000002
745.8,2018,6447,21,7,medio,58,18593.686696891193,0.5774426984597175,-22688.672904000003
1721.41,2017,6425,21,7,medio,58,18449.532506666666,1.3328179613241384,-21713.062904000002
1491.89,2019,5483,21,7,medio,58,10601.82814473684,1.1551099321601876,-21942.582904000003
1721.41,2015,6436,21,7,medio,58,18935.184909793814,1.3328179613241384,-21713.062904000002
1720.04,2014,6435,21,7,medio,58,12795.017135614702,1.3317572258764447,-21714.432904
1721.41,2023,5822,21,7,medio,58,23087.897503337783,1.3328179613241384,-21713.062904000002
745.8,2016,6452,21,7,medio,58,13520.933636363638,0.5774426984597175,-22688.672904000003
745.8,2014,6361,21,7,medio,58,12795.017135614702,0.5774426984597175,-22688.672904000003
745.8,2019,6449,21,7,medio,58,10601.82814473684,0.5774426984597175,-22688.672904000003
1721.41,2019,6422,21,7,medio,58,10601.82814473684,1.3328179613241384,-21713.062904000002
1689.96,2012,6431,21,7,medio,58,9574.647017291067,1.30846750159424,-21744.512904000003
1721.41,2017,6441,21,7,medio,58,18449.532506666666,1.3328179613241384,-21713.062904000002
1721.41,2020,6423,21,7,medio,58,58496.831775956285,1.3328179613241384,-21713.062904000002
1721.41,2015,6372,21,7,medio,58,18935.184909793814,1.3328179613241384,-21713.062904000002
1721.41,2016,6437,21,7,medio,58,13520.933636363638,1.3328179613241384,-21713.062904000002
794.28,2024,5462,21,7,medio,58,44752.81413533835,0.6149787966379517,-22640.192904000003
1721.41,2017,6427,21,7,medio,58,18449.532506666666,1.3328179613241384,-21713.062904000002
1721.41,2020,6421,21,7,medio,58,58496.831775956285,1.3328179613241384,-21713.062904000002
1689.96,2013,6430,21,7,medio,58,11912.799832258064,1.30846750159424,-21744.512904000003
745.8,2021,6511,21,7,medio,58,27085.747595419845,0.5774426984597175,-22688.672904000003
794.28,2023,5465,21,7,medio,58,23087.897503337783,0.6149787966379517,-22640.192904000003
1720.04,2014,6438,21,7,medio,58,12795.017135614702,1.3317572258764447,-21714.432904
1721.41,2015,6418,21,7,medio,58,18935.184909793814,1.3328179613241384,-21713.062904000002
210.56,2013,717,21,7,bajo,58,11912.799832258064,0.16302806997543326,-23223.912904
1721.41,2023,5821,21,7,medio,58,23087.897503337783,1.3328179613241384,-21713.062904000002
1720.04,2014,6433,21,7,medio,58,12795.017135614702,1.3317572258764447,-21714.432904
727.32,2012,6617,21,7,medio,58,9574.647017291067,0.5631343838076184,-22707.152904000002
745.8,2016,6448,21,7,medio,58,13520.933636363638,0.5774426984597175,-22688.672904000003
1721.41,2017,6434,21,7,medio,58,18449.532506666666,1.3328179613241384,-21713.062904000002
745.8,2020,5532,21,7,medio,58,58496.831775956285,0.5774426984597175,-22688.672904000003
1721.41,2024,5823,21,7,medio,58,44752.81413533835,1.3328179613241384,-21713.062904000002
794.28,2023,5463,21,7,medio,58,23087.897503337783,0.6149787966379517,-22640.192904000003
745.81,2012,6446,21,7,medio,58,9574.647017291067,0.5774504410542262,-22688.662904
745.81,2012,6618,21,7,medio,58,9574.647017291067,0.5774504410542262,-22688.662904
745.8,2013,6453,21,7,medio,58,11912.799832258064,0.5774426984597175,-22688.672904000003
1689.95,2013,6424,21,7,medio,58,11912.799832258064,1.3084597589997313,-21744.522904
1721.41,2016,6426,21,7,medio,58,13520.933636363638,1.3328179613241384,-21713.062904000002
1721.41,2016,6432,21,7,medio,58,13520.933636363638,1.3328179613241384,-21713.062904000002
1721.41,2022,6416,21,7,medio,58,28270.918252788106,1.3328179613241384,-21713.062904000002
745.8,2018,6445,21,7,medio,58,18593.686696891193,0.5774426984597175,-22688.672904000003
1689.96,2013,6429,21,7,medio,58,11912.799832258064,1.30846750159424,-21744.512904000003
566.04,2022,2306,77,188,medio,23,28270.918252788106,1.5424493093945562,-22868.432904
129.91,2017,2598,97,188,bajo,23,18449.532506666666,0.35400252594065224,-23304.562904000002
451.98,2012,4507,97,188,bajo,23,9574.647017291067,1.231637762101886,-22982.492904000002
198.14,2016,3454,97,188,bajo,23,13520.933636363638,0.5399281078429746,-23236.332904000003
259.55,2016,4505,97,188,bajo,23,13520.933636363638,0.7072693065037048,-23174.922904000003
198.14,2015,3460,97,188,bajo,23,18935.184909793814,0.5399281078429746,-23236.332904000003
615.29,2023,4505,97,188,medio,23,23087.897503337783,1.6766547162345,-22819.182904
313.46,2014,4515,97,188,bajo,23,12795.017135614702,0.8541731335644435,-23121.012904000003
253.37,2014,2737,77,188,bajo,23,12795.017135614702,0.6904289123053119,-23181.102904000003
610.81,2022,4511,97,188,medio,23,28270.918252788106,1.6644467929321052,-22823.662904
476.67,2015,2597,97,188,bajo,23,18935.184909793814,1.2989175894090579,-22957.802904000004
182.66,2016,5883,77,188,bajo,23,13520.933636363638,0.49774537286059223,-23251.812904000002
259.55,2015,4505,97,188,bajo,23,18935.184909793814,0.7072693065037048,-23174.922904000003
206.75,2013,4507,97,188,bajo,23,11912.799832258064,0.5633902104397649,-23227.722904000002
269.35,2023,4510,97,188,bajo,23,23087.897503337783,0.7339741387276937,-23165.122904000003
354.35,2012,4584,3,188,bajo,23,9574.647017291067,0.965597683527597,-23080.122904000003
1193.54,2024,314,77,188,medio,23,44752.81413533835,3.2523760665938424,-22240.932904
348.48,2017,4093,97,188,bajo,23,18449.532506666666,0.9496020340220037,-23085.992904000002
213.87,2018,3454,97,188,bajo,23,18593.686696891193,0.5827920885453568,-23220.602904000003
675.91,2017,2738,77,188,medio,23,18449.532506666666,1.841843178420031,-22758.562904000002
104.67,2015,4508,97,188,bajo,23,18935.184909793814,0.285223958049481,-23329.802904000004
228.33,2013,4506,97,188,bajo,23,11912.799832258064,0.6221953409901403,-23206.142904
329.6,2015,2740,97,188,bajo,23,18935.184909793814,0.8981543572476252,-23104.872904000003
3409.3,2021,4754,105,90,alto,4,27085.747595419845,1.1583581573567023,-20025.172904000003
3344.32,2020,4756,105,90,alto,4,58496.831775956285,1.1362802783008732,-20090.152904000002
3344.32,2019,4755,105,90,alto,4,10601.82814473684,1.1362802783008732,-20090.152904000002
1674.93,2016,716,105,90,medio,4,13520.933636363638,0.5690812860415514,-21759.542904
768.56,2023,608,113,187,medio,5,23087.897503337783,1.2469538411616774,-22665.912904
523.53,2022,608,113,187,medio,5,28270.918252788106,0.8494037478705281,-22910.942904000003
568.51,2023,607,113,187,medio,5,23087.897503337783,0.9223817636083393,-22865.962904000004
768.56,2024,609,113,187,medio,5,44752.81413533835,1.2469538411616774,-22665.912904
